mep_id,first_name,last_name,gender,date_of_birth,date_of_death,hometown,country_of_representation
257130,Cristina,Guarda,FEMALE,1990-03-03,,Cologna Veneta,ITA
197699,Elena,Kountoura,FEMALE,,,Athens,GRC
245018,Christophe,Clergeau,MALE,1968-09-01,,Nantes,FRA
257149,Lara,Magoni,FEMALE,1969-01-29,,Alzano Lombardo (BG),ITA
256823,Nikolas,Farantouris,MALE,,,,GRC
257075,Isilda,Gomes,FEMALE,1951-09-16,,Mido,PRT
96761,Axel,Voss,MALE,1963-04-07,,Hameln,DEU
257038,Sigrid,Friis,FEMALE,1994-10-20,,Hillerød,DNK
256949,Siegbert Frank,Droese,MALE,1969-06-07,,Leipzig,DEU
257138,Giuseppe,Antoci,MALE,1968-01-11,,Santo Stefano di Camastra,ITA
256889,Liesbet,Sommen,FEMALE,,,Turnhout,BEL
257101,Cecilia,Strada,FEMALE,1979-03-12,,Milan,ITA
257095,Elena,Donazzan,FEMALE,1972-06-22,,Bassano del Grappa ,ITA
197461,Katrin,Langensiepen,FEMALE,1979-10-10,,Langenhagen,DEU
96780,Monika,Hohlmeier,FEMALE,1962-07-02,,München,DEU
197636,Ioan-Rareş,Bogdan,MALE,1974-09-17,,Ocna Mures,ROU
256829,Sakis,Arnaoutoglou,MALE,,,,GRC
256868,Péter,Magyar,MALE,1981-03-16,,Budapest,HUN
190713,Lukas,Mandl,MALE,1979-07-12,,Wien,AUT
127766,Jussi,Saramo,MALE,,,Porvoo,FIN
208722,Sara,Matthieu,FEMALE,1981-05-21,,Aalst,BEL
197398,Pär,Holmgren,MALE,1964-10-24,,Gävle,SWE
256966,Michael,von der Schulenburg,MALE,1948-10-16,,Munich,DEU
257148,Raffaele,Topo,MALE,1965-03-02,,Villaricca,ITA
124893,Bogdan Andrzej,Zdrojewski,MALE,1957-05-18,,Kłodzko,POL
256906,Claire,Fita,FEMALE,1976-12-31,,Toulouse,FRA
191693,Elsi,Katainen,FEMALE,1966-12-17,,Haapajärvi,FIN
197401,Karin,Karlsbro,FEMALE,1970-09-23,,Roslags-Bro,SWE
197558,Asger,Christensen,MALE,1958-01-08,,Tarm,DNK
257123,Lucia,Annunziata,FEMALE,1950-08-08,,Sarno,ITA
197543,Bernard,Guetta,MALE,1951-01-28,,Boulogne-Billancourt,FRA
256859,Annamária,Vicsek,FEMALE,1973-02-09,,Szabadka,HUN
106936,Daniel,Freund,MALE,1984-10-14,,Aachen,DEU
260035,Marko,Vešligaj,MALE,,,,HRV
88882,Victor,Negrescu,MALE,,,București,ROU
198076,Maria,Ohisalo,FEMALE,,,Helsinki,FIN
197572,Anna,Zalewska,FEMALE,,,Świebodzice,POL
112747,Romana,Jerković,FEMALE,1964-11-28,,Split,HRV
257077,Marlena,Maląg,FEMALE,,,Ostrów Wielkopolski,POL
218347,Thijs,Reuten,MALE,,,Bussum,NLD
256962,Joachim,Streit,MALE,,,,DEU
257033,Niels Flemming,Hansen,MALE,1974-05-16,,Vejle,DNK
197721,César,Luena,MALE,,,Logrono,ESP
257063,Catarina,Martins,FEMALE,1973-09-07,,Porto,PRT
257018,Branislav,Ondruš,MALE,1973-03-28,,Levoča,SVK
257160,Marco,Tarquinio,MALE,1958-03-16,,FOLIGNO,ITA
256885,Bruno,Tobback,MALE,1969-08-22,,Leuven,BEL
257007,Erik,Kaliňák,MALE,1991-09-09,,Bratislava,SVK
257013,Ľubica,Karvašová,FEMALE,,,,SVK
256943,Eleonora,Meleti,FEMALE,,,,GRC
256928,Petr,Bystron,MALE,,,,DEU
256978,Reinier,Van Lanschot,MALE,1989-09-07,,Saint-Germain-en-Laye,NLD
261796,Séverine,Werbrouck,FEMALE,1978-10-31,,Pau,FRA
256875,Matthieu,Valet,MALE,1986-01-04,,Lille,FRA
128483,Markus,Buchheit,MALE,,,Zweibrücken,DEU
197435,Gabriele,Bischoff,FEMALE,1961-01-04,,Bad Wildungen,DEU
247735,Laura,Ballarín Cereza,FEMALE,,,Barcelona,ESP
257090,Beatrice,Timgren,FEMALE,1989-05-12,,Järfälla,SWE
197820,Nicola,Procaccini,MALE,1976-01-21,,Roma,ITA
40224,Andi,Cristea,MALE,,,Buzău,ROU
197687,Philippe,Olivier,MALE,1961-08-30,,Juvisy sur Orge,FRA
256991,Sebastiaan,Stöteler,MALE,,,Almelo,NLD
125027,Esteban,González Pons,MALE,1964-08-21,,Valencia,ESP
110673,Ana Miguel,Pedro,FEMALE,1989-10-07,,Oliveira De Azemeis,PRT
256915,Mélissa,Camara,FEMALE,1991-11-27,,Mont-Saint-Aignan,FRA
257103,Ştefan,Muşoiu,MALE,1975-06-16,,București,ROU
124785,Maria,Grapini,FEMALE,1954-11-07,,Berești - Galați,ROU
256903,Thomas,Pellerin-Carlin,MALE,,,Caen,FRA
124877,Jadwiga,Wiśniewska,FEMALE,,,Myszków,POL
129073,Urmas,Paet,MALE,1974-04-20,,Tallinn,EST
257049,Mirosława,Nykiel,FEMALE,,,,POL
197655,Cristian,Terheş,MALE,,,Zalau,ROU
197439,Damian,Boeselager,MALE,1988-03-08,,Frankfurt am Main,DEU
197840,Rasa,Juknevičienė,FEMALE,1958-01-26,,Panevėžys,LTU
124828,Fulvio,Martusciello,MALE,1968-05-25,,Napoli,ITA
257070,Marcin,Sypniewski,MALE,1979-01-30,,Bydgoszcz,POL
1294,Elio,Di Rupo,MALE,,,Morlanwelz,BEL
202073,Marc,Angel,MALE,1963-03-12,,Luxembourg-Ville,LUX
257001,Elena,Sancho Murillo,FEMALE,1989-01-26,,Ribaforada,ESP
197402,Tomas,Tobé,MALE,1978-02-16,,Gavle,SWE
237465,Matthias,Ecke,MALE,1983-04-12,,Meerane,DEU
197460,Sergey,Lagodinsky,MALE,1975-12-01,,Astrakhan,DEU
197552,Veronika,Vrecionová,FEMALE,1965-09-08,,České Budějovice,CZE
197624,Ivars,Ijabs,MALE,1972-11-17,,Riga,LVA
256999,Rosa,Serrano Sierra,FEMALE,,,,ESP
257068,Hélder,Sousa Silva,MALE,1965-07-21,,Mafra,PRT
124836,Maria,Noichl,FEMALE,1967-01-09,,Rosenheim,DEU
257026,Michał,Szczerba,MALE,1977-12-14,,Warszawa,POL
257114,Claudiu-Richard,Târziu,MALE,1973-02-20,,Bacău,ROU
197514,Andrzej,Halicki,MALE,1961-11-26,,Warszawa,POL
257025,Kristoffer,Storm,MALE,1989-01-26,,Hillerød,DNK
197679,Isabel,Benjumea Benjumea,FEMALE,1982-09-05,,Madrid,ESP
256987,Oihane,Agirregoitia Martínez,FEMALE,1980-04-18,,Bilbao,ESP
256831,Sophia,Kircher,FEMALE,1994-05-04,,,AUT
257067,Grzegorz,Braun,MALE,1967-03-11,,Toruń,POL
125068,Emmanouil,Kefalogiannis,MALE,,,Iraklio Kritis,GRC
124861,Caterina,Chinnici,FEMALE,1954-11-05,,Palermo,ITA
197780,Bart,Groothuis,MALE,1981-01-01,,Tubbergen,NLD
256908,François,Kalfon,MALE,1968-06-11,,Sarcelles,FRA
257163,Francesco,Torselli,MALE,1976-03-09,,FIRENZE,ITA
125325,Sander,Smit,MALE,1985-07-29,,Goor,NLD
192254,Marieke,Ehlers,FEMALE,,,,NLD
257144,Paolo,Inselvini,MALE,1994-10-05,,Brescia,ITA
256934,Daniel,Attard,MALE,1992-04-18,,Pieta,MLT
257000,Stephen Nikola,Bartulica,MALE,,,,HRV
256942,Marc,Jongen,MALE,1968-05-23,,Merano,DEU
257089,Alice,Teodorescu Måwe,FEMALE,1984-05-02,,Bucharest,SWE
96833,Jens,Geier,MALE,1961-06-22,,Frankfurt,DEU
236053,Marina,Mesure,FEMALE,1989-07-12,,Marseille,FRA
256918,Céline,Imart,FEMALE,,,,FRA
38511,Georg,Mayer,MALE,,,Feldbach,AUT
197784,Susana,Solís Pérez,FEMALE,,,Aviles,ESP
28347,Javier,Moreno Sánchez,MALE,1965-03-12,,Ginebra (Suiza),ESP
257105,Roxana,Mînzatu,FEMALE,1980-04-01,,Brasov,ROU
197425,Ralf,Seekatz,MALE,,,DERNBACH,DEU
257057,João,Cotrim De Figueiredo,MALE,1961-06-24,,Lisbon,PRT
257139,Benedetta,Scuderi,FEMALE,1991-09-08,,Agropoli,ITA
204332,Barry,Andrews,MALE,1967-05-16,,Dublin,IRL
257255,Stanislav,Stoyanov,MALE,,,,BGR
98219,Aura,Salla,FEMALE,,,Lappeenranta,FIN
197549,Markéta,Gregorová,FEMALE,1993-01-14,,Most,CZE
257059,Bruno,Gonçalves,MALE,1996-12-27,,,PRT
99878,Waldemar,Buda,MALE,,,,POL
197773,Bert-Jan,Ruissen,MALE,1972-03-22,,Reimerswaal,NLD
256907,Reinis,Pozņaks,MALE,1977-12-09,,Riga,LVA
197621,Juan Ignacio,Zoido Álvarez,MALE,1957-01-21,,Montellano - Sevilla,ESP
204129,Nikolina,Brnjac,FEMALE,1978-07-11,,Karlovac,HRV
202036,Sunčana,Glavak,FEMALE,1968-12-09,,Čakovec,HRV
197475,Christine,Anderson,FEMALE,,,Eschwege,DEU
201945,Virginijus,Sinkevičius,MALE,1990-11-04,,Vilnius,LTU
257053,Ana Catarina,Mendes,FEMALE,1973-01-14,,Coimbra,PRT
124700,Jana,Toom,FEMALE,1966-10-15,,Tallinn,EST
197800,Eero,Heinäluoma,MALE,1955-07-04,,Kokkola,FIN
257042,Marcin,Kierwiński,MALE,1976-08-22,,Warszawa,POL
256852,Nikola,Bartůšek,FEMALE,1985-05-11,,České Budějovice,CZE
257050,António,Tânger Corrêa,MALE,1952-04-24,,Lisbon,PRT
198183,Mihai,Tudose,MALE,1967-03-06,,Braila,ROU
197618,Elisabetta,Gualmini,FEMALE,,,Modena,ITA
197795,Mario,Furore,MALE,1988-12-25,,FOGGIA,ITA
257081,Sebastião,Bugalho,MALE,,,,PRT
197410,Stefan,Berger,MALE,1969-09-15,,Mönchengladbach,DEU
256920,Isabelle,Le Callennec,FEMALE,1966-10-14,,Nantes,FRA
257054,Tiago,Moreira de Sá,MALE,1971-01-12,,Lisbon,PRT
257076,Michał,Dworczyk,MALE,1975-07-22,,Warsaw,POL
124808,Norbert,Lins,MALE,1977-12-22,,Ravensburg,DEU
197843,Andrius,Kubilius,MALE,1956-12-08,,Lietuva,LTU
257133,Pasquale,Tridico,MALE,1975-09-21,,Scala Coeli,ITA
185771,Tom,Vandendriessche,MALE,1978-10-27,,Leuven,BEL
96653,Katarína,Roth Neveďalová,FEMALE,1982-11-10,,Nitra,SVK
96998,Evelyn,Regner,FEMALE,1966-01-24,,Wien,AUT
197670,Andreas,Schieder,MALE,1969-04-16,,Wien,AUT
198373,Judita,Laššáková,FEMALE,1977-12-04,,Bratislava,SVK
197580,Isabella,Tovaglieri,FEMALE,1987-06-25,,Busto Arsizio,ITA
197647,Dan-Ştefan,Motreanu,MALE,1970-09-11,,Orastie,ROU
197786,Susanna,Ceccardi,FEMALE,1987-03-19,,Pisa,ITA
256989,Fidias,Panayiotou,MALE,,,,CYP
257071,Carla,Tavares,FEMALE,1970-08-15,,,PRT
257112,Vlad,Vasile-Voiculescu,MALE,,,,ROU
257132,Ignazio Roberto,Marino,MALE,1955-03-10,,Genova,ITA
257129,Mimmo,Lucano,MALE,1954-05-31,,Melito Porto Salvo,ITA
96934,Sandra,Kalniete,FEMALE,1952-12-22,,Tomskas apg. Kolpaševas raj. Toguras ciems,LVA
197579,Klára,Dobrev,FEMALE,1972-02-02,,Sofia,HUN
197711,Dolors,Montserrat,FEMALE,1973-09-18,,Barcelona,ESP
198073,Anna-Maja,Henriksson,FEMALE,1964-01-07,,Jakobstad,FIN
204449,Riho,Terras,MALE,1967-04-17,,Kohtla-Järve,EST
22418,Esther,Herranz García,FEMALE,1969-07-03,,Logroño,ESP
197738,Lídia,Pereira,FEMALE,1991-07-26,,Se Nova,PRT
256878,Marie-Luce,Brasier-Clain,FEMALE,1959-10-19,,,FRA
256897,Gaëtan,Dussausaye,MALE,1994-04-05,,BRÉTIGNY-SUR-ORGE,FRA
256917,Majdouline,Sbai,FEMALE,,,,FRA
256899,Murielle,Laurent,FEMALE,1977-09-21,,Joigny,FRA
28298,Iratxe,García Pérez,FEMALE,1974-10-07,,Baracaldo,ESP
257093,Carlo,Ciccioli,MALE,1952-11-19,,Ancona,ITA
124722,Csaba,Molnár,MALE,1975-12-04,,Csorna,HUN
257296,Nina,Carberry,FEMALE,1984-07-21,,Dublin,IRL
256955,Maria,Zacharia,FEMALE,,,Athens,GRC
256845,Ondřej,Krutílek,MALE,1981-04-30,,Nový Jičín,CZE
257087,Adnan,Dibrani,MALE,,,,SWE
256853,Klara,Dostalova,FEMALE,1971-03-13,,Prague,CZE
197870,Kim,Van Sparrentak,FEMALE,1989-10-16,,Vlissingen,NLD
239260,Denis,Nesci,MALE,1981-07-25,,Polistena,ITA
256971,Lukas,Sieper,MALE,1997-03-22,,Bergisch Gladbach,DEU
197416,Giorgos,Georgiou,MALE,1963-04-09,,Nicosia,CYP
96810,Carlo,Fidanza,MALE,1976-09-21,,San Benedetto del Tronto,ITA
125093,Kostas,Papadakis,MALE,1975-04-18,,Athina,GRC
213330,Ernő,Schaller-Baross,MALE,,,Budapest,HUN
97399,Dirk,Gotink,MALE,1981-08-13,,Haarlem,NLD
197628,Jean-Paul,Garraud,MALE,,,Toulouse,FRA
197831,Hermann,Tertsch,MALE,1958-04-09,,Madrid,ESP
23781,Janusz,Lewandowski,MALE,1951-06-13,,Lublin,POL
124784,Dan,Nica,MALE,1960-07-02,,Panciu,ROU
119652,Vytenis Povilas,Andriukaitis,MALE,1951-08-09,,,LTU
96811,Rosa,Estaràs Ferragut,FEMALE,1965-10-21,,Valldemossa,ESP
197403,Alex,Agius Saliba,MALE,1988-01-31,,Pieta,MLT
257019,Alvise,Pérez,MALE,1990-02-26,,Sevilla,ESP
101585,Niels,Fuglsang,MALE,1985-06-29,,Kobenhavn,DNK
197430,Engin,Eroglu,MALE,,,Schwalmstadt,DEU
256996,Sebastian,Kruis,MALE,1989-08-04,,Medellín,NLD
256866,Gabriella,Gerzsenyi,FEMALE,,,,HUN
1917,Markus,Ferber,MALE,1965-01-15,,Augsburg,DEU
257121,Matteo,Ricci,MALE,1974-07-18,,Pesaro,ITA
256981,Ton,Diepeveen,MALE,1957-08-27,,Veenendaal,NLD
257109,Marco,Squarta,MALE,1979-06-04,,Perugia,ITA
257020,Stine,Bosse,FEMALE,1960-12-21,,Lyngby,DNK
96675,Isabella,Lövin,FEMALE,1963-02-03,,Helsingborg,SWE
204419,Sandro,Gozi,MALE,1968-03-25,,Sogliano al Rubicone,ITA
220840,Jaroslav,Bžoch,MALE,1983-11-30,,,CZE
256815,Marjan,Šarec,MALE,1977-12-02,,Ljubljana,SVN
256886,Valérie,Deloge,FEMALE,1966-05-09,,Fontenay-aux-Roses,FRA
257045,Michał,Wawrykiewicz,MALE,1971-05-11,,Warszawa,POL
257108,Stefano,Bonaccini,MALE,1967-01-01,,Modena,ITA
98341,Eva,Maydell,FEMALE,1986-01-26,,Sofia,BGR
257257,Hristo,Petrov,MALE,,,,BGR
24942,Ana,Miranda Paz,FEMALE,1971-05-02,,Cuntis,ESP
96826,Tamás,Deutsch,MALE,1966-07-27,,Budapest,HUN
124895,Krzysztof,Hetman,MALE,,,Lublin,POL
197607,Pietro,Fiocchi,MALE,1964-05-22,,Milano,ITA
204418,Nora,Mebarek,FEMALE,1972-07-22,,Port-Saint-Louis-du-Rhône,FRA
257024,Mireia,Borrás Pabón,FEMALE,1986-10-14,,Madrid,ESP
200345,Pierre-Romain,Thionnet,MALE,1994-01-19,,Pontarlier,FRA
197404,Jessica,Polfjärd,FEMALE,1971-05-27,,Seoul,SWE
197606,Javier,Zarzalejos,MALE,1960-06-06,,Bilbao,ESP
198084,Katri,Kulmuni,FEMALE,1987-09-04,,Tornio,FIN
124834,Martin,Sonneborn,MALE,,,Göttingen,DEU
256844,Jaroslava,Pokorná Jermanová,FEMALE,1970-08-17,,Karlovy Vary,CZE
197517,Adam,Jarubas,MALE,1974-12-17,,Busko-Zdroj,POL
256839,Anna,Stürgkh,FEMALE,1994-04-02,,Wien,AUT
256847,Danuše,Nerudová,FEMALE,1979-01-04,,Brno,CZE
197412,Niclas,Herbst,MALE,1973-02-28,,Ratzeburg,DEU
257128,Giusi,Princi,FEMALE,1972-09-27,,REGGIO CALABRIA,ITA
124691,Costas,Mavrides,MALE,1962-05-27,,Kato Dhikomo,CYP
220896,Reinhold,Lopatka,MALE,1960-01-27,,Vorau,AUT
267485,Volker,Schnurrbusch,MALE,,,,DEU
96709,Morten,Løkkegaard,MALE,,,Helsingør,DNK
22858,Fabienne,Keller,FEMALE,1959-10-20,,Sélestat,FRA
197426,Sven,Simon,MALE,1978-10-09,,Lahn-Wetzlar,DEU
256936,Thomas,Bajada,MALE,1994-06-13,,VICTORIA,MLT
197492,Bartosz,Arłukowicz,MALE,1971-12-30,,Resko,POL
257151,Letizia,Moratti,FEMALE,1949-11-26,,Milan,ITA
256969,Friedrich,Pürner,MALE,,,Munich,DEU
37324,Adina,Vălean,FEMALE,,,Ţintea,ROU
257120,Diana,Iovanovici Şoşoacă,FEMALE,1975-11-13,,Bucharest,ROU
122978,Alicia,Homs Ginel,FEMALE,1993-10-15,,Palma de Mallorca,ESP
230085,Camilla,Laureti,FEMALE,1975-05-20,,Roma,ITA
96940,Gerben-Jan,Gerbrandy,MALE,1967-06-28,,Den Haag,NLD
197463,Olivier,Chastel,MALE,1964-11-22,,Liège,BEL
197781,Malik,Azmani,MALE,1976-01-20,,Heerenveen,NLD
256834,Elisabeth,Dieringer,FEMALE,1974-05-12,,Villach,AUT
197503,David,Cormand,MALE,1974-11-30,,Mont Saint Aignan,FRA
256824,Yannis,Maniatis,MALE,,,,GRC
124807,Jens,Gieseke,MALE,1971-05-18,,Lingen,DEU
125012,Daniel,Buda,MALE,1970-01-11,,Com. Românași,ROU
197534,François-Xavier,Bellamy,MALE,1985-10-11,,Paris,FRA
125023,Anja,Hazekamp,FEMALE,1968-01-21,,Vlagtwedde,NLD
257023,Per,Clausen,MALE,1955-02-20,,Kongsvinger,DNK
28419,Nicola,Zingaretti,MALE,1965-10-11,,Roma,ITA
257169,Annalisa,Corrado,FEMALE,1973-09-08,,CIVITAVECCHIA,ITA
25758,Ruth,Firmenich,FEMALE,1964-08-24,,,DEU
256888,Rody,Tolassy,MALE,1987-09-21,,Pointe-à-Pitre,FRA
96787,Herbert,Dorfmann,MALE,1969-03-04,,Brixen,ITA
124866,Ilhan,Kyuchyuk,MALE,1985-09-16,,Sevlievo,BGR
197441,Predrag Fred,Matić,MALE,1962-06-02,2024-08-23,Pozega,HRV
197413,Karlo,Ressler,MALE,,,Zagreb,HRV
197832,Diana,Riba i Giner,FEMALE,,,Barcelona,ESP
256887,Wouter,Beke,MALE,1974-08-09,,LOMMEL,BEL
197684,Pernando,Barrena Arza,MALE,1965-11-01,,Pamplona,ESP
189065,France,Jamet,FEMALE,1961-02-05,,Paris,FRA
197494,Nathalie,Loiseau,FEMALE,1964-06-01,,Neuilly-sur-Seine,FRA
257086,Jacek,Ozdoba,MALE,1991-09-22,,Warszawa,POL
257238,Aodhán,Ó Ríordáin,MALE,1976-07-22,,Dublin,IRL
251324,Krzysztof,Brejza,MALE,1983-05-16,,Bydgoszcz,POL
257099,Francesco,Ventola,MALE,1971-05-12,,Canosa di Puglia,ITA
256935,Sabrina,Repp,FEMALE,1999-02-01,,Rostock,DEU
197770,Martin,Hojsík,MALE,1977-01-27,,Bratislava,SVK
124985,Luke Ming,Flanagan,MALE,1972-01-22,,Roscommon,IRL
256909,Vilis,Krištopans,MALE,,,,LVA
256938,Tobias,Cremer,MALE,1992-06-30,,Bochum,DEU
197429,Marion,Walsmann,FEMALE,1963-03-17,,Erfurt,DEU
257027,Fernando,Navarrete Rojas,MALE,1976-01-24,,Madrid,ESP
256881,Barbara,Bonte,FEMALE,1983-05-13,,Brussels,BEL
256911,Arash,Saeidi,MALE,1975-05-25,,Teheran,FRA
256874,Mélanie,Disdier,FEMALE,1974-01-27,,Cambrai,FRA
257069,Ewa,Zajączkowska-Hernik,FEMALE,1990-01-20,,Radom,POL
257155,Danilo,Della Valle,MALE,1983-02-01,,Capua,ITA
257046,Marta,Wcisło,FEMALE,,,,POL
257113,Antonella,Sberna,FEMALE,1982-01-11,,Roma,ITA
4267,Udo,Bullmann,MALE,1956-06-08,,Gießen,DEU
5392,Lara,Wolters,FEMALE,1986-04-12,,Amsterdam,NLD
244571,Nikos,Papandreou,MALE,1956-09-29,,"Alameda, California",GRC
210480,Marta,Temido,FEMALE,1974-03-02,,Coimbra,PRT
197470,Saskia,Bricmont,FEMALE,1985-03-16,,Tournai,BEL
96830,Enikő,Győri,FEMALE,1968-07-17,,Budapest,HUN
256809,Paulius,Saudargas,MALE,1979-03-13,,Kaunas,LTU
96936,Gabriel,Mato,MALE,1961-04-29,,Madrid,ESP
197778,Tom,Berendsen,MALE,1983-04-11,,Breda,NLD
198490,Emmanouil,Fragkos,MALE,1993-06-27,,Chios,GRC
256900,Fernand,Kartheiser,MALE,1959-09-30,,Luxembourg,LUX
197841,Liudas,Mažylis,MALE,1954-05-19,,Kaunas,LTU
257106,Alessandro,Zan,MALE,1973-10-04,,Padova,ITA
197829,Jorge,Buxadé Villalba,MALE,1975-06-16,,BARCELONA,ESP
96697,Waldemar,Tomaszewski,MALE,1965-03-03,,Vilnius,LTU
197818,Billy,Kelleher,MALE,1968-01-20,,Cork,IRL
197573,Kira Marie,Peter-Hansen,FEMALE,1998-02-23,,Frederiksberg C,DNK
257048,Paulo,Do Nascimento Cabral,MALE,1981-08-20,,Ponta Delgada,PRT
257037,Michał,Kobosko,MALE,1968-04-15,,Warszawa,POL
257091,Dick,Erixon,MALE,,,Stockholm,SWE
257015,Jaume,Asens Llodrà,MALE,,,Barcelona,ESP
193419,Christophe,Hansen,MALE,1982-02-21,,WILTZ,LUX
257051,Andrzej,Buła,MALE,1965-08-28,,,POL
197526,Martin,Hlaváček,MALE,,,Polička,CZE
256814,Zala,Tomašič,FEMALE,1995-09-29,,Kranj,SVN
256893,Pierre,Pimpie,MALE,1971-09-10,,Hyères,FRA
37312,Christel,Schaldemose,FEMALE,1967-08-04,,Odense,DNK
257072,Tomasz,Buczek,MALE,1986-04-24,,Kolbuszowa,POL
256879,Yvan,Verougstraete,MALE,1975-10-06,,Ixelles,BEL
257127,Ilaria,Salis,FEMALE,,,,ITA
256965,Kai,Tegethoff,MALE,1984-07-19,,Köln,DEU
256916,Mārtiņš,Staķis,MALE,1979-07-04,,Tukums,LVA
257097,Alberico,Gambino,MALE,1967-12-07,,PAGANI,ITA
197589,Laurence,Farreng,FEMALE,1966-09-06,,Nimes,FRA
256833,Lena,Schilling,FEMALE,2001-01-08,,Vienna,AUT
99945,Lena,Düpont,FEMALE,1986-04-30,,Dortmund,DEU
197466,Jutta,Paulus,FEMALE,1967-05-09,,Giessen,DEU
257079,Sérgio,Gonçalves,MALE,1979-04-07,,Funchal,PRT
257040,Nicolás,Pascual de la Parte,MALE,,,,ESP
197677,Günther,Sidl,MALE,,,St. Pölten,AUT
256846,Ondřej,Kolář,MALE,,,Prague,CZE
204336,Miriam,Lexmann,FEMALE,1972-12-02,,Bratislava,SVK
257058,Daniel,Obajtek,MALE,1976-01-02,,Myslenice,POL
256813,Vladimir,Prebilič,MALE,1974-05-21,,Ljubljana,SVN
197469,Assita,Kanko,FEMALE,1980-07-14,,Godyr,BEL
256810,Mika,Aaltola,MALE,1969-05-02,,Jämsänkoski,FIN
256830,Elisabeth,Grossmann,FEMALE,1968-11-25,,Graz,AUT
256976,Brigitte,van den Berg,FEMALE,1989-03-22,,Heemskerk,NLD
185619,Tiemo,Wölken,MALE,1985-12-05,,Otterndorf,DEU
197839,Radan,Kanev,MALE,1975-09-30,,Sofia,BGR
103381,Terry,Reintke,FEMALE,1987-05-09,,Gelsenkirchen,DEU
197690,André,Rougé,MALE,1961-12-23,,Paris,FRA
257088,Sofie,Eriksson,FEMALE,1992-12-13,,Gävle,SWE
256855,Pál,Szekeres,MALE,1964-09-22,,Budapest,HUN
257137,Marco,Falcone,MALE,1971-01-05,,Catania,ITA
197447,Irena,Joveva,FEMALE,1989-02-26,,Kranj,SVN
256820,Georgios,Aftias,MALE,,,,GRC
256950,Dimitris,Tsiodras,MALE,,,,GRC
257096,Stefano,Cavedagna,MALE,1989-12-09,,Bologna,ITA
256840,Jan,Farský,MALE,1979-07-11,,Turnov,CZE
197658,Dragoş,Benea,MALE,1975-12-18,,Bacău,ROU
256910,Anthony,Smith,MALE,,,,FRA
197794,Chiara,Gemma,FEMALE,1968-09-20,,Brindisi,ITA
256952,Nikos,Pappas,MALE,,,,GRC
257035,Alma,Ezcurra Almansa,FEMALE,1986-12-11,,Madrid,ESP
197682,Hannes,Heide,MALE,1966-10-17,,Bad Ischl,AUT
34232,Kristian,Vigenin,MALE,1975-06-12,,Sofia,BGR
187917,Marc,Botenga,MALE,1980-12-29,,Bruxelles,BEL
